,id,imdb_id,original_title,filtered_name
0,862,tt0114709,Toy Story,toy
1,8844,tt0113497,Jumanji,jumanji
2,15602,tt0113228,Grumpier Old Men,grumpier
3,31357,tt0114885,Waiting to Exhale,waiting exhale
4,11862,tt0113041,Father of the Bride Part II,
5,949,tt0113277,Heat,heat
6,11860,tt0114319,Sabrina,sabrina
7,45325,tt0112302,Tom and Huck,huck
8,9091,tt0114576,Sudden Death,sudden
9,710,tt0113189,GoldenEye,goldeneye
10,9087,tt0112346,The American President,president
11,12110,tt0112896,Dracula: Dead and Loving It,loving
12,21032,tt0112453,Balto,balto
13,10858,tt0113987,Nixon,nixon
14,1408,tt0112760,Cutthroat Island,cutthroat
15,524,tt0112641,Casino,casino
16,4584,tt0114388,Sense and Sensibility,sense sensibility
17,5,tt0113101,Four Rooms,rooms
18,9273,tt0112281,Ace Ventura: When Nature Calls,ace ventura nature calls
19,11517,tt0113845,Money Train,
20,8012,tt0113161,Get Shorty,shorty
21,1710,tt0112722,Copycat,copycat
22,9691,tt0112401,Assassins,assassins
23,12665,tt0114168,Powder,powder
24,451,tt0113627,Leaving Las Vegas,leaving las vegas
25,16420,tt0114057,Othello,othello
26,9263,tt0114011,Now and Then,then
27,17015,tt0114117,Persuasion,persuasion
30,9909,tt0112792,Dangerous Minds,minds
31,63,tt0114746,Twelve Monkeys,twelve monkeys
33,9598,tt0112431,Babe,babe
34,47018,tt0112637,Carrington,carrington
35,687,tt0112818,Dead Man Walking,walking
36,139405,tt0112286,Across the Sea of Time,across
37,33689,tt0113442,It Takes Two,takes
38,9603,tt0112697,Clueless,clueless
39,34615,tt0112749,"Cry, the Beloved Country",cry beloved
40,31174,tt0114279,Richard III,richard
41,11443,tt0112819,Dead Presidents,presidents
42,35196,tt0114272,Restoration,restoration
43,9312,tt0113855,Mortal Kombat,mortal kombat
44,577,tt0114681,To Die For,
45,11861,tt0113347,How To Make An American Quilt,make quilt
46,807,tt0114369,Se7en,se7en
47,10530,tt0114148,Pocahontas,pocahontas
48,8391,tt0114916,When Night Is Falling,falling
49,629,tt0114814,The Usual Suspects,usual suspects
50,117164,tt0109950,Guardian Angel,guardian
51,11448,tt0113819,Mighty Aphrodite,mighty aphrodite
53,26441,tt0112499,The Big Green,
54,97406,tt0113158,Georgia,georgia
55,124057,tt0113541,Kids of the Round Table,round table
56,9089,tt0113321,Home for the Holidays,holidays
59,11359,tt0113419,The Indian in the Cupboard,indian cupboard
60,17182,tt0116260,Eye for an Eye,
61,2054,tt0113862,Mr. Holland's Opus,holland s opus
62,10607,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,t a menace south central while drinking juice hood
63,19760,tt0118002,Two If by Sea,
64,9536,tt0115683,Bio-Dome,bio dome
65,11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,lawnmower 2 cyberspace
66,40628,tt0114753,Two Bits,bits
68,10634,tt0113118,Friday,friday
69,755,tt0116367,From Dusk Till Dawn,dusk till
70,11859,tt0113010,Fair Game,fair
71,28387,tt0113537,Kicking and Screaming,kicking screaming
73,20927,tt0115644,Bed of Roses,bed roses
74,36929,tt0115676,Big Bully,bully
75,9102,tt0114367,Screamers,screamers
76,124626,tt0113973,Nico Icon,nico icon
77,27526,tt0112744,The Crossing Guard,crossing guard
78,9623,tt0116731,The Juror,juror
80,400,tt0114660,Things to Do in Denver When You're Dead,denver
