,app_id,name,filtered_name
0,945360,Among Us,among u
1,730,Counter-Strike: Global Offensive,counter strike global offensive
2,1097150,Fall Guys: Ultimate Knockout,fall guy ultimate knockout
3,1158310,Crusader Kings III,crusader king iii
4,1085660,Destiny 2,destiny 2
5,1145360,Hades,hades
6,1172620,Sea of Thieves,sea thief
7,359550,Tom Clancy's Rainbow Six® Siege,tom clancy rainbow six siege
8,570,Dota 2,dota 2
9,230410,Warframe,warframe
10,306130,The Elder Scrolls® Online,elder scroll online
11,238960,Path of Exile,path exile
12,397540,Borderlands 3,borderland 3
13,1129580,Medieval Dynasty,medieval dynasty
14,381210,Dead by Daylight,daylight
15,1250410,Microsoft Flight Simulator,microsoft flight simulator
16,271590,Grand Theft Auto V,grand theft auto v
17,39210,FINAL FANTASY XIV Online,final fantasy xiv online
18,582660,Black Desert Online,black desert online
19,412020,Metro Exodus,metro exodus
20,440900,Conan Exiles,conan exile
21,236390,War Thunder,thunder
22,548430,Deep Rock Galactic,deep rock galactic
23,252490,Rust,rust
24,971996,Among Us - Mini Crewmate Bundle,among u mini crewmate bundle
25,440,Team Fortress 2,team fortress 2
26,976730,Halo: The Master Chief Collection,halo master chief collection
27,945360,Among Us,among u
28,730,Counter-Strike: Global Offensive,counter strike global offensive
29,1097150,Fall Guys: Ultimate Knockout,fall guy ultimate knockout
30,1158310,Crusader Kings III,crusader king iii
31,1085660,Destiny 2,destiny 2
32,1145360,Hades,hades
33,1172620,Sea of Thieves,sea thief
34,359550,Tom Clancy's Rainbow Six® Siege,tom clancy rainbow six siege
35,570,Dota 2,dota 2
36,230410,Warframe,warframe
37,306130,The Elder Scrolls® Online,elder scroll online
38,238960,Path of Exile,path exile
39,397540,Borderlands 3,borderland 3
40,1129580,Medieval Dynasty,medieval dynasty
41,381210,Dead by Daylight,daylight
42,1250410,Microsoft Flight Simulator,microsoft flight simulator
43,271590,Grand Theft Auto V,grand theft auto v
44,39210,FINAL FANTASY XIV Online,final fantasy xiv online
45,582660,Black Desert Online,black desert online
46,412020,Metro Exodus,metro exodus
47,440900,Conan Exiles,conan exile
48,236390,War Thunder,thunder
49,548430,Deep Rock Galactic,deep rock galactic
50,252490,Rust,rust
51,971996,Among Us - Mini Crewmate Bundle,among u mini crewmate bundle
52,440,Team Fortress 2,team fortress 2
53,976730,Halo: The Master Chief Collection,halo master chief collection
54,1056640,Phantasy Star Online 2,phantasy star online 2
55,1174180,Red Dead Redemption 2,red redemption 2
56,252950,Rocket League®,rocket league
57,289070,Sid Meier’s Civilization® VI,sid meier civilization vi
58,386360,SMITE®,smite
59,1307550,Craftopia,craftopia
60,582010,Monster Hunter: World,monster hunter
61,275850,No Man's Sky,sky
62,1041720,Kingdoms of Amalur: Re-Reckoning,kingdom amalur re reckoning
63,997070,Marvel's Avengers,marvel avenger
64,632360,Risk of Rain 2,risk rain 2
65,962130,Grounded,grounded
66,629760,MORDHAU,mordhau
67,1151640,Horizon Zero Dawn™ Complete Edition,horizon zero dawn complete edition
68,221100,DayZ,dayz
69,427520,Factorio,factorio
70,1222670,The Sims™ 4,sims 4
71,1286830,STAR WARS™: The Old Republic™,star war old republic
72,489830,The Elder Scrolls V: Skyrim Special Edition,elder scroll v skyrim special edition
73,346110,ARK: Survival Evolved,ark survival evolved
74,1206200,Conan Exiles: Isle of Siptah,conan exile isle siptah
75,526870,Satisfactory,satisfactory
76,945360,Among Us,among u
77,730,Counter-Strike: Global Offensive,counter strike global offensive
78,1097150,Fall Guys: Ultimate Knockout,fall guy ultimate knockout
79,1158310,Crusader Kings III,crusader king iii
80,1085660,Destiny 2,destiny 2
81,1145360,Hades,hades
82,1172620,Sea of Thieves,sea thief
83,359550,Tom Clancy's Rainbow Six® Siege,tom clancy rainbow six siege
84,570,Dota 2,dota 2
85,230410,Warframe,warframe
86,306130,The Elder Scrolls® Online,elder scroll online
87,238960,Path of Exile,path exile
88,397540,Borderlands 3,borderland 3
89,1129580,Medieval Dynasty,medieval dynasty
90,381210,Dead by Daylight,daylight
91,1250410,Microsoft Flight Simulator,microsoft flight simulator
92,271590,Grand Theft Auto V,grand theft auto v
93,39210,FINAL FANTASY XIV Online,final fantasy xiv online
94,582660,Black Desert Online,black desert online
95,412020,Metro Exodus,metro exodus
96,440900,Conan Exiles,conan exile
97,236390,War Thunder,thunder
98,548430,Deep Rock Galactic,deep rock galactic
99,252490,Rust,rust
100,971996,Among Us - Mini Crewmate Bundle,among u mini crewmate bundle
101,440,Team Fortress 2,team fortress 2
102,976730,Halo: The Master Chief Collection,halo master chief collection
103,1056640,Phantasy Star Online 2,phantasy star online 2
104,1174180,Red Dead Redemption 2,red redemption 2
105,252950,Rocket League®,rocket league
106,289070,Sid Meier’s Civilization® VI,sid meier civilization vi
107,386360,SMITE®,smite
108,1307550,Craftopia,craftopia
109,582010,Monster Hunter: World,monster hunter
110,275850,No Man's Sky,sky
111,1041720,Kingdoms of Amalur: Re-Reckoning,kingdom amalur re reckoning
112,997070,Marvel's Avengers,marvel avenger
113,632360,Risk of Rain 2,risk rain 2
114,962130,Grounded,grounded
115,629760,MORDHAU,mordhau
116,1151640,Horizon Zero Dawn™ Complete Edition,horizon zero dawn complete edition
117,221100,DayZ,dayz
118,427520,Factorio,factorio
119,1222670,The Sims™ 4,sims 4
120,1286830,STAR WARS™: The Old Republic™,star war old republic
