,url,genre,game_details
0,https://store.steampowered.com/app/379720/DOOM/,Action,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
1,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/,"Action,Adventure,Massively Multiplayer","Multi-player,Online Multi-Player,Stats"
2,https://store.steampowered.com/app/637090/BATTLETECH/,"Action,Adventure,Strategy","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud"
3,https://store.steampowered.com/app/221100/DayZ/,"Action,Adventure,Massively Multiplayer","Multi-player,Online Multi-Player,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled"
4,https://store.steampowered.com/app/8500/EVE_Online/,"Action,Free to Play,Massively Multiplayer,RPG,Strategy","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards"
5,https://store.steampowered.com/bundle/5699/Grand_Theft_Auto_V_Premium_Online_Edition/,"Action,Adventure","Single-player,Multi-player,Downloadable Content,Steam Achievements,Full controller support"
6,https://store.steampowered.com/app/601150/Devil_May_Cry_5/,Action,"Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
7,https://store.steampowered.com/app/477160/Human_Fall_Flat/,"Adventure,Indie","Single-player,Online Multi-Player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats"
8,https://store.steampowered.com/app/644930/They_Are_Billions/,"Strategy,Early Access","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards"
9,https://store.steampowered.com/app/774241/Warhammer_Chaosbane/,"Action,Adventure,RPG","Single-player,Multi-player,Co-op,Online Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
10,https://store.steampowered.com/app/527230/For_The_King/,"Adventure,Indie,RPG,Strategy","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
11,https://store.steampowered.com/app/567640/Danganronpa_V3_Killing_Harmony/,Adventure,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
12,https://store.steampowered.com/app/323370/TERA/,"Action,Adventure,Free to Play,Massively Multiplayer,RPG","Multi-player,MMO,Co-op,Steam Trading Cards,Partial Controller Support"
13,https://store.steampowered.com/app/393080/Call_of_Duty_Modern_Warfare_Remastered/,Action,"Single-player,Online Multi-Player,Online Co-op,Steam Achievements"
14,https://store.steampowered.com/app/253250/Stonehearth/,"Indie,Simulation,Strategy","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Steam Trading Cards,Steam Workshop"
15,https://store.steampowered.com/bundle/5641/Hearts_of_Iron_IV_Mobilization_Pack/,"Simulation,Strategy","Single-player,Multi-player,Online Multi-Player,Co-op,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud"
16,https://store.steampowered.com/app/597170/Clone_Drone_in_the_Danger_Zone/,"Action,Indie,Early Access","Single-player,Multi-player,Online Multi-Player,Steam Achievements,Full controller support,Captions available,Steam Workshop,Steam Cloud,Includes level editor"
17,https://store.steampowered.com/app/899440/GOD_EATER_3/,Action,"Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
18,https://store.steampowered.com/app/767560/War_Robots/,"Action,Free to Play","Multi-player,Online Multi-Player,Steam Trading Cards,In-App Purchases"
19,https://store.steampowered.com/app/459220/Halo_Wars_Definitive_Edition/,Strategy,"Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards"
20,https://store.steampowered.com/app/42700/Call_of_Duty_Black_Ops/,Action,"Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Valve Anti-Cheat enabled"
21,https://store.steampowered.com/app/787480/Phoenix_Wright_Ace_Attorney_Trilogy__123/,Adventure,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
22,https://store.steampowered.com/app/785260/Team_Sonic_Racing/,Racing,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
23,https://store.steampowered.com/app/475150/Titan_Quest_Anniversary_Edition/,"Action,RPG","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor"
